periode_data,tanggal,jenis_moda,jumlah_penumpang_per_hari
202402,2024-02-25,KAPAL,4535
202402,2024-02-26,KAPAL,1830
202402,2024-02-27,KAPAL,1673
202402,2024-02-28,KAPAL,1479
202402,2024-02-29,KAPAL,1477
202402,2024-02-01,TRANSJAKARTA,1155322
202402,2024-02-02,TRANSJAKARTA,1152107
202402,2024-02-03,TRANSJAKARTA,801212
202402,2024-02-04,TRANSJAKARTA,670195
202402,2024-02-05,TRANSJAKARTA,1159398
202402,2024-02-06,TRANSJAKARTA,1168189
202402,2024-02-07,TRANSJAKARTA,1180123
202402,2024-02-08,TRANSJAKARTA,696518
202402,2024-02-09,TRANSJAKARTA,774403
202402,2024-02-10,TRANSJAKARTA,683082
202402,2024-02-11,TRANSJAKARTA,645873
202402,2024-02-12,TRANSJAKARTA,1147300
202402,2024-02-13,TRANSJAKARTA,1157441
202402,2024-02-14,TRANSJAKARTA,471864
202402,2024-02-15,TRANSJAKARTA,1111148
202402,2024-02-16,TRANSJAKARTA,1129816
202402,2024-02-17,TRANSJAKARTA,742067
202402,2024-02-18,TRANSJAKARTA,649062
202402,2024-02-19,TRANSJAKARTA,1173362
202402,2024-02-20,TRANSJAKARTA,1194157
202402,2024-02-21,TRANSJAKARTA,1200226
202402,2024-02-22,TRANSJAKARTA,1179609
202402,2024-02-23,TRANSJAKARTA,1172659
202402,2024-02-24,TRANSJAKARTA,769879
202402,2024-02-25,TRANSJAKARTA,667620
202402,2024-02-26,TRANSJAKARTA,1185213
202402,2024-02-27,TRANSJAKARTA,1197537
202402,2024-02-28,TRANSJAKARTA,1171695
202402,2024-02-29,TRANSJAKARTA,1099316
202402,2024-02-01,BUS SEKOLAH,43946
202402,2024-02-02,BUS SEKOLAH,42442
202402,2024-02-03,BUS SEKOLAH,1114
202402,2024-02-04,BUS SEKOLAH,1148
202402,2024-02-05,BUS SEKOLAH,44991
202402,2024-02-06,BUS SEKOLAH,46237
202402,2024-02-07,BUS SEKOLAH,44381
202402,2024-02-08,BUS SEKOLAH,1182
202402,2024-02-09,BUS SEKOLAH,410
202402,2024-02-10,BUS SEKOLAH,622
202402,2024-02-11,BUS SEKOLAH,1221
202402,2024-02-12,BUS SEKOLAH,44413
202402,2024-02-13,BUS SEKOLAH,45514
202402,2024-02-14,BUS SEKOLAH,54
202402,2024-02-15,BUS SEKOLAH,45426
202402,2024-02-16,BUS SEKOLAH,42860
202402,2024-02-17,BUS SEKOLAH,1001
202402,2024-02-18,BUS SEKOLAH,1106
202402,2024-02-19,BUS SEKOLAH,47108
202402,2024-02-20,BUS SEKOLAH,45658
202402,2024-02-21,BUS SEKOLAH,44373
202402,2024-02-22,BUS SEKOLAH,44771
202402,2024-02-23,BUS SEKOLAH,42241
202402,2024-02-24,BUS SEKOLAH,1286
202402,2024-02-25,BUS SEKOLAH,1017
202402,2024-02-26,BUS SEKOLAH,43609
202402,2024-02-27,BUS SEKOLAH,42678
202402,2024-02-28,BUS SEKOLAH,42113
202401,2024-01-01,TRANSJAKARTA,632778
202401,2024-01-02,TRANSJAKARTA,1045214
202401,2024-01-03,TRANSJAKARTA,1041663
202401,2024-01-04,TRANSJAKARTA,1097752
202401,2024-01-05,TRANSJAKARTA,1105303
202401,2024-01-06,TRANSJAKARTA,716205
202401,2024-01-07,TRANSJAKARTA,624900
202401,2024-01-08,TRANSJAKARTA,1137742
202401,2024-01-09,TRANSJAKARTA,1150147
202401,2024-01-10,TRANSJAKARTA,1147436
202401,2024-01-11,TRANSJAKARTA,1125270
202401,2024-01-12,TRANSJAKARTA,1129099
202401,2024-01-13,TRANSJAKARTA,758105
202401,2024-01-14,TRANSJAKARTA,683688
202401,2024-01-15,TRANSJAKARTA,1154750
202401,2024-01-16,TRANSJAKARTA,1158105
202401,2024-01-17,TRANSJAKARTA,1131647
202401,2024-01-18,TRANSJAKARTA,1142880
202401,2024-01-19,TRANSJAKARTA,1066005
202401,2024-01-20,TRANSJAKARTA,781421
202401,2024-01-21,TRANSJAKARTA,651780
202401,2024-01-22,TRANSJAKARTA,1157462
202401,2024-01-23,TRANSJAKARTA,1165510
202401,2024-01-24,TRANSJAKARTA,1168437
202401,2024-01-25,TRANSJAKARTA,1152249
202401,2024-01-26,TRANSJAKARTA,1145915
202401,2024-01-27,TRANSJAKARTA,693411
202401,2024-01-28,TRANSJAKARTA,639808
202401,2024-01-29,TRANSJAKARTA,1114347
202401,2024-01-30,TRANSJAKARTA,1120316
202401,2024-01-31,TRANSJAKARTA,1095146
202401,2024-01-01,BUS SEKOLAH,0
202401,2024-01-02,BUS SEKOLAH,40401
202401,2024-01-03,BUS SEKOLAH,42323
202401,2024-01-04,BUS SEKOLAH,44479
202401,2024-01-05,BUS SEKOLAH,41464
202401,2024-01-06,BUS SEKOLAH,0
202401,2024-01-07,BUS SEKOLAH,0
202401,2024-01-08,BUS SEKOLAH,45700
202401,2024-01-09,BUS SEKOLAH,45637
202401,2024-01-10,BUS SEKOLAH,45400
202401,2024-01-11,BUS SEKOLAH,44760
202401,2024-01-12,BUS SEKOLAH,40776
202401,2024-01-13,BUS SEKOLAH,0
202401,2024-01-14,BUS SEKOLAH,0
202401,2024-01-15,BUS SEKOLAH,46806
202401,2024-01-16,BUS SEKOLAH,46224
202401,2024-01-17,BUS SEKOLAH,47063
202401,2024-01-18,BUS SEKOLAH,45509
202401,2024-01-19,BUS SEKOLAH,42145
202401,2024-01-20,BUS SEKOLAH,3278
202401,2024-01-21,BUS SEKOLAH,1008
202401,2024-01-22,BUS SEKOLAH,47053
202401,2024-01-23,BUS SEKOLAH,44602
202401,2024-01-24,BUS SEKOLAH,45968
202401,2024-01-25,BUS SEKOLAH,46116
202401,2024-01-26,BUS SEKOLAH,44698
202401,2024-01-27,BUS SEKOLAH,1392
202401,2024-01-28,BUS SEKOLAH,914
202401,2024-01-29,BUS SEKOLAH,46226
202401,2024-01-30,BUS SEKOLAH,44065
202401,2024-01-31,BUS SEKOLAH,43668
202401,2024-01-01,KRL,870760
202401,2024-01-02,KRL,988279
202401,2024-01-03,KRL,911701
202401,2024-01-04,KRL,958012
202401,2024-01-05,KRL,947322
202401,2024-01-06,KRL,798322
202401,2024-01-07,KRL,798114
202401,2024-01-08,KRL,688412
202401,2024-01-09,KRL,950789
202401,2024-01-10,KRL,919683
202401,2024-01-11,KRL,920561
202401,2024-01-12,KRL,902018
202401,2024-01-13,KRL,922799
202401,2024-01-14,KRL,732353
202401,2024-01-15,KRL,944556
202401,2024-01-16,KRL,917677
202401,2024-01-17,KRL,902426
202401,2024-01-18,KRL,905853
202401,2024-01-19,KRL,838859
202401,2024-01-20,KRL,783001
202401,2024-01-21,KRL,657590
202401,2024-01-22,KRL,937463
202401,2024-01-23,KRL,900344
202401,2024-01-24,KRL,904134
202401,2024-01-25,KRL,897113
202401,2024-01-26,KRL,916574
202401,2024-01-27,KRL,717013
202401,2024-01-28,KRL,659556
202401,2024-01-29,KRL,906586
202401,2024-01-30,KRL,875459
202401,2024-01-31,KRL,889474
202401,2024-01-01,MRT,57856
202401,2024-01-02,MRT,99620
202401,2024-01-03,MRT,104306
202401,2024-01-04,MRT,115248
202401,2024-01-05,MRT,115113
202401,2024-01-06,MRT,57512
202401,2024-01-07,MRT,57570
202401,2024-01-08,MRT,112782
202401,2024-01-09,MRT,118892
202401,2024-01-10,MRT,120091
202401,2024-01-11,MRT,120445
202401,2024-01-12,MRT,120521
202401,2024-01-13,MRT,75462
202401,2024-01-14,MRT,73436
202401,2024-01-15,MRT,112177
202401,2024-01-16,MRT,121723
202401,2024-01-17,MRT,118208
202401,2024-01-18,MRT,118295
202401,2024-01-19,MRT,109609
202401,2024-01-20,MRT,76604
202401,2024-01-21,MRT,62549
202401,2024-01-22,MRT,111503
202401,2024-01-23,MRT,118575
202401,2024-01-24,MRT,120181
202401,2024-01-25,MRT,119008
202401,2024-01-26,MRT,121141
202401,2024-01-27,MRT,60894
202401,2024-01-28,MRT,61391
202401,2024-01-29,MRT,109988
202401,2024-01-30,MRT,118291
202401,2024-01-31,MRT,124709
202401,2024-01-01,LRT,3166
202401,2024-01-02,LRT,2901
202401,2024-01-03,LRT,2795
202401,2024-01-04,LRT,2784
202401,2024-01-05,LRT,3219
202401,2024-01-06,LRT,2863
202401,2024-01-07,LRT,2405
202401,2024-01-08,LRT,2959
202401,2024-01-09,LRT,3057
202401,2024-01-10,LRT,2993
202401,2024-01-11,LRT,2952
202401,2024-01-12,LRT,3242
202401,2024-01-13,LRT,3450
202401,2024-01-14,LRT,2729
202401,2024-01-15,LRT,3002
202401,2024-01-16,LRT,2944
202401,2024-01-17,LRT,3402
202401,2024-01-18,LRT,3029
202401,2024-01-19,LRT,2835
202401,2024-01-20,LRT,3268
202401,2024-01-21,LRT,2830
202401,2024-01-22,LRT,2900
202401,2024-01-23,LRT,2963
202401,2024-01-24,LRT,3645
202401,2024-01-25,LRT,3028
202401,2024-01-26,LRT,3454
202401,2024-01-27,LRT,2896
202401,2024-01-28,LRT,2533
202401,2024-01-29,LRT,3031
202401,2024-01-30,LRT,3010
202401,2024-01-31,LRT,3346
202401,2024-01-01,KCI COMMUTER BANDARA,6723
202401,2024-01-02,KCI COMMUTER BANDARA,6920
202401,2024-01-03,KCI COMMUTER BANDARA,6053
202401,2024-01-04,KCI COMMUTER BANDARA,5804
202401,2024-01-05,KCI COMMUTER BANDARA,5864
202401,2024-01-06,KCI COMMUTER BANDARA,5087
202401,2024-01-07,KCI COMMUTER BANDARA,5841
202401,2024-01-08,KCI COMMUTER BANDARA,5877
202401,2024-01-09,KCI COMMUTER BANDARA,5430
202401,2024-01-10,KCI COMMUTER BANDARA,6008
202401,2024-01-11,KCI COMMUTER BANDARA,5789
202401,2024-01-12,KCI COMMUTER BANDARA,6376
202401,2024-01-13,KCI COMMUTER BANDARA,5029
202401,2024-01-14,KCI COMMUTER BANDARA,5624
202401,2024-01-15,KCI COMMUTER BANDARA,6400
202401,2024-01-16,KCI COMMUTER BANDARA,5659
202401,2024-01-17,KCI COMMUTER BANDARA,5989
202401,2024-01-18,KCI COMMUTER BANDARA,5865
202401,2024-01-19,KCI COMMUTER BANDARA,6121
202401,2024-01-20,KCI COMMUTER BANDARA,5146
202401,2024-01-21,KCI COMMUTER BANDARA,5341
202401,2024-01-22,KCI COMMUTER BANDARA,5859
202401,2024-01-23,KCI COMMUTER BANDARA,5836
202401,2024-01-24,KCI COMMUTER BANDARA,6403
202401,2024-01-25,KCI COMMUTER BANDARA,6392
202401,2024-01-26,KCI COMMUTER BANDARA,6716
202401,2024-01-27,KCI COMMUTER BANDARA,4922
202401,2024-01-28,KCI COMMUTER BANDARA,5470
202401,2024-01-29,KCI COMMUTER BANDARA,6307
202401,2024-01-30,KCI COMMUTER BANDARA,5920
202401,2024-01-31,KCI COMMUTER BANDARA,6602
202401,2024-01-01,KAPAL,14321
202401,2024-01-02,KAPAL,4932
202401,2024-01-03,KAPAL,3118
202401,2024-01-04,KAPAL,2696
202401,2024-01-05,KAPAL,2326
202401,2024-01-06,KAPAL,6791
202402,2024-02-15,KCI COMMUTER BANDARA,5568
